parent_metro_region,year,median_sale_price,median_list_price,homes_sold,new_listings,inventory,avg_sale_to_list,sold_above_list
"Sweetwater, TX",2013,101821.42857142857,144421.42857142858,1.5714285714285714,3.142857142857143,12.285714285714286,0.9176735184838677,0.0
"Sweetwater, TX",2014,81708.9,95193.625,2.6,2.625,10.2,0.932408099298695,0.08333333333333333
"Sweetwater, TX",2015,114618.77777777778,112943.75,1.6666666666666667,1.625,6.777777777777778,1.0000006171939058,0.16666666666666666
"Sweetwater, TX",2016,102987.14285714286,193425.0,1.4285714285714286,2.0,8.571428571428571,0.9220255479479259,0.0
"Sweetwater, TX",2017,95749.25,125683.33333333333,1.8,2.3333333333333335,8.5,0.9083519369330638,0.2333333333333333
"Sweetwater, TX",2018,83964.75,119343.75,1.5,3.5,11.2,0.9610443520637117,0.05
"Sweetwater, TX",2019,172714.58333333334,140305.55555555556,1.8333333333333333,2.8,11.5,0.9406600373343514,0.15277777777777776
"Sweetwater, TX",2020,270189.9,153440.5,1.7,2.625,8.0,0.9583939956100334,0.125
"Sweetwater, TX",2021,145795.0,154755.55555555556,2.6,3.6666666666666665,6.4,0.9697295585111197,0.24
"Syracuse, NY",2012,117688.16666666667,121195.83333333333,139.16666666666666,196.30555555555554,1164.1666666666667,0.9452583893755249,0.1769565799594365
"Syracuse, NY",2013,121518.5,123584.72222222222,149.02777777777777,201.75,1096.3333333333333,0.9523621422484576,0.18137104376432997
"Syracuse, NY",2014,118888.40277777778,122976.54166666667,155.97222222222223,218.11111111111111,1138.9166666666667,0.948803977970777,0.17181142682327435
"Syracuse, NY",2015,121712.80555555556,125828.33333333333,167.33333333333334,231.86111111111111,1172.6944444444443,0.9528566823810238,0.1895508527656689
"Syracuse, NY",2016,120047.26388888889,124231.94444444444,185.58333333333334,224.13888888888889,958.3888888888889,0.95635422637087,0.2311111027728334
"Syracuse, NY",2017,124967.13888888889,126735.55555555556,193.72222222222223,219.33333333333334,757.2222222222222,0.9597623232585231,0.2323030677778823
"Syracuse, NY",2018,131039.98611111111,134498.61111111112,180.36111111111111,209.08333333333334,601.8611111111111,0.966425565707898,0.2640711911480543
"Syracuse, NY",2019,135419.44444444444,139643.26388888888,182.44444444444446,211.19444444444446,547.5277777777778,0.9680546645573672,0.2898521881686593
"Syracuse, NY",2020,152723.88888888888,153184.66666666666,176.13888888888889,187.88888888888889,368.02777777777777,0.9816130400569717,0.38436536078366895
"Syracuse, NY",2021,169162.25,165663.88888888888,184.5,200.33333333333334,296.5,1.0096134995058847,0.5109575169291242
"Tacoma, WA",2012,195384.375,205745.04166666666,755.4166666666666,954.5,3404.4166666666665,0.9839136960590195,0.2572660642005747
"Tacoma, WA",2013,217345.83333333334,223478.95833333334,920.8333333333334,1149.4166666666667,3214.5833333333335,0.9912009861726072,0.29514023190155575
"Tacoma, WA",2014,231059.25,237161.16666666666,953.5833333333334,1180.75,3384.3333333333335,0.9889556385044349,0.274549974097353
"Tacoma, WA",2015,248781.25,255307.375,1113.3333333333333,1262.0833333333333,2883.8333333333335,0.9939357695797165,0.3159100330898295
"Tacoma, WA",2016,275641.5833333333,277804.1666666667,1269.4166666666667,1418.75,2424.4166666666665,1.0022350857190212,0.40267853436425183
"Tacoma, WA",2017,308239.5833333333,311239.0833333333,1383.0,1466.9166666666667,2093.6666666666665,1.011135599013156,0.45530056979265243
"Tacoma, WA",2018,343645.8333333333,345718.25,1320.25,1439.8333333333333,2046.4166666666667,1.0072509045733213,0.44840556373017065
"Tacoma, WA",2019,368840.3333333333,372218.75,1247.25,1305.25,1716.8333333333333,1.0044917405670435,0.4463571088853331
"Tacoma, WA",2020,418785.4166666667,411876.125,1258.75,1299.9166666666667,1056.0833333333333,1.0163386702747073,0.555812581862786
"Tacoma, WA",2021,501665.0,485898.5416666667,1400.0833333333333,1433.0,780.8333333333334,1.0379758640457022,0.6582097261948546
"Tahlequah, OK",2012,102166.66666666667,120145.83333333333,30.083333333333332,52.0,313.5833333333333,0.941802625991009,0.12521236572414104
