state,year,median_sale_price,median_list_price,homes_sold,new_listings,inventory,avg_sale_to_list,sold_above_list
Michigan,2020,202091.6667,203000,9096.666667,9701.833333,17320.25,0.98353503,0.317337184
Michigan,2021,226791.6667,216391.6667,9651.916667,10508.75,12920.08333,1.006037231,0.476129214
Minnesota,2012,167058.3333,167941.6667,4453.416667,5271.25,22143.83333,0.967684215,0.203080771
Minnesota,2013,186558.3333,186191.6667,4815.75,5768.666667,20763.83333,0.973843113,0.230145117
Minnesota,2014,195408.3333,197875,4533.5,5763,21402.25,0.971861303,0.198506427
Minnesota,2015,208258.3333,205341.6667,5133.5,6142.5,19248.41667,0.977033834,0.230039198
Minnesota,2016,221658.3333,218133.3333,5349.833333,6120.083333,17384.41667,0.982472599,0.270249
Minnesota,2017,236700,231858.3333,5322.5,5968.5,15130.16667,0.986889099,0.307034975
Minnesota,2018,253241.6667,247383.3333,5185.333333,5996.083333,14115.58333,0.98960614,0.332225886
Minnesota,2019,268191.6667,261733.3333,5290.916667,6032.416667,13469.58333,0.989416171,0.323299208
Minnesota,2020,289941.6667,279591.6667,5875.833333,6074.5,9893.583333,0.996927949,0.397036767
Minnesota,2021,324516.6667,304050,5811.25,5963.5,6421.75,1.016732606,0.525335458
Mississippi,2012,126925,133600,792.4166667,1086.666667,5207.083333,0.948129402,0.110384571
Mississippi,2013,131216.6667,141591.6667,913.9166667,1137.416667,5993.916667,0.950947988,0.118145886
Mississippi,2014,139783.3333,150975,938.1666667,1101.833333,5618.416667,0.953269399,0.109681386
Mississippi,2015,150583.3333,158675,997.1666667,1129.75,6452,0.958217565,0.101104909
Mississippi,2016,154341.6667,164491.6667,1087.416667,1137.166667,6223.333333,0.963515071,0.117653648
Mississippi,2017,165016.6667,173958.3333,1134.5,1186.583333,5690.5,0.965293,0.12182212
Mississippi,2018,174375,180100,1158.333333,1211.916667,5579.416667,0.968074934,0.122854944
Mississippi,2019,181533.3333,188683.3333,1189.166667,1249.583333,5539,0.970509437,0.130083698
Mississippi,2020,204400,208875,1309,1218.916667,4710.416667,0.975580889,0.163125594
Mississippi,2021,226425,229591.6667,1331.833333,1315.5,3179.75,0.987367614,0.301544354
Missouri,2012,114633.3333,118608.3333,1320.083333,1910.333333,1000.75,0.947457483,0.084102107
Missouri,2013,120816.6667,127341.6667,1751.083333,2300.916667,2492.5,0.941933202,0.101782119
Missouri,2014,143716.6667,142158.3333,3667.333333,4350.416667,9790,0.960006355,0.136942198
Missouri,2015,153966.6667,151875,4218.166667,5373.166667,12510.33333,0.966089078,0.153877549
Missouri,2016,163950,162325,4569.166667,5410.583333,11606.5,0.971405408,0.183287964
Missouri,2017,172041.6667,171708.3333,4743.416667,5483,10732.66667,0.973480974,0.202993421
Missouri,2018,180900,179341.6667,4746.25,5490.25,10140.16667,0.974325474,0.214369271
Missouri,2019,191908.3333,187850,4682.166667,5335.916667,8687.666667,0.976399529,0.233144372
Missouri,2020,209691.6667,206633.3333,5048.416667,5282.083333,6420.416667,0.987393367,0.324822333
Missouri,2021,230900,221258.3333,5464,5464.666667,4586.333333,1.009324936,0.469606486
Nebraska,2012,139750,141341.6667,1107.5,1448.083333,4500.833333,0.969134012,0.182817178
Nebraska,2013,145450,146508.3333,1229.833333,1478.5,4171.333333,0.973036094,0.194604798
Nebraska,2014,149633.3333,152216.6667,1255.25,1442.916667,3641.75,0.974824946,0.198609003
Nebraska,2015,160891.6667,164441.6667,1342.25,1503.75,3121.833333,0.979774693,0.236713951
Nebraska,2016,170858.3333,173375,1398,1471.25,2642.833333,0.983221757,0.272957184
Nebraska,2017,178033.3333,185741.6667,1359.416667,1502.916667,2343.916667,0.987432342,0.319222298
Nebraska,2018,194225,198208.3333,1378.833333,1518.75,2495.916667,0.990017845,0.315435477
Nebraska,2019,205791.6667,209308.3333,1394.5,1513.333333,2399.916667,0.989131329,0.307038205
Nebraska,2020,223975,227983.3333,1525.916667,1545.5,1697.666667,0.997931567,0.388269958
Nebraska,2021,248000,245833.3333,1536,1533.583333,1186.166667,1.014534381,0.518605682
Nevada,2012,137608.3333,139916.6667,3879.166667,4109.916667,16547.16667,0.992647943,0.35057669
Nevada,2013,177858.3333,179616.6667,3555.666667,4161.583333,14043.41667,1.005993419,0.387977689
Nevada,2014,203950,206508.3333,3212.25,3942.583333,14194.33333,0.985954196,0.243343136
Nevada,2015,225116.6667,225041.6667,3411.333333,4139.833333,14222.25,0.982673087,0.222876091
Nevada,2016,241916.6667,242900,3636.166667,4300.833333,14197.33333,0.982797612,0.211242652
Nevada,2017,268225,267233.3333,3910.25,4206.916667,11693.75,0.985884222,0.245070271
