SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019,NPOPCHG_2020,PPOPCHG_2010,PPOPCHG_2011,PPOPCHG_2012,PPOPCHG_2013,PPOPCHG_2014,PPOPCHG_2015,PPOPCHG_2016,PPOPCHG_2017,PPOPCHG_2018,PPOPCHG_2019,PPOPCHG_2020,NRANK_ESTBASE2010,NRANK_POPEST2010,NRANK_POPEST2011,NRANK_POPEST2012,NRANK_POPEST2013,NRANK_POPEST2014,NRANK_POPEST2015,NRANK_POPEST2016,NRANK_POPEST2017,NRANK_POPEST2018,NRANK_POPEST2019,NRANK_POPEST2020,NRANK_NPCHG2010,NRANK_NPCHG2011,NRANK_NPCHG2012,NRANK_NPCHG2013,NRANK_NPCHG2014,NRANK_NPCHG2015,NRANK_NPCHG2016,NRANK_NPCHG2017,NRANK_NPCHG2018,NRANK_NPCHG2019,NRANK_NPCHG2020,NRANK_PPCHG2010,NRANK_PPCHG2011,NRANK_PPCHG2012,NRANK_PPCHG2013,NRANK_PPCHG2014,NRANK_PPCHG2015,NRANK_PPCHG2016,NRANK_PPCHG2017,NRANK_PPCHG2018,NRANK_PPCHG2019,NRANK_PPCHG2020
40,1,1,25,Massachusetts,6547788,6566440,6614218,6664269,6715158,6764864,6797484,6827280,6863560,6885720,6894883,6893574,6984723,18652,47778,50051,50889,49706,32620,29796,36280,22160,9163,-1309,0.284859559,0.727608872,0.75671833,0.763609632,0.740205964,0.482197425,0.438338656,0.53139757,0.322864519,0.133072504,-0.018985094,14,14,14,14,14,14,15,15,15,15,15,15,8,12,12,11,11,15,17,16,18,25,38,9,23,23,22,20,26,25,21,25,36,36
40,2,3,26,Michigan,9884112,9877597,9883053,9898289,9914802,9932033,9934483,9954117,9976752,9987286,9984795,9966555,10050811,-6515,5456,15236,16513,17231,2450,19634,22635,10534,-2491,-18240,-0.065913863,0.055236107,0.154162889,0.166826812,0.173790662,0.024667659,0.197634844,0.227393349,0.105585465,-0.024941711,-0.182677762,8,8,8,9,9,10,10,10,10,10,10,10,51,45,31,28,24,41,19,20,25,42,48,51,49,45,43,39,42,37,33,38,40,43
40,2,4,27,Minnesota,5303933,5310934,5346620,5377500,5414722,5452665,5484002,5525360,5569283,5608762,5640053,5657342,5707390,7001,35686,30880,37222,37943,31337,41358,43923,39479,31291,17289,0.131996388,0.671934541,0.577561151,0.692180381,0.70073773,0.574709798,0.754157274,0.794934629,0.708870424,0.557894951,0.306539673,21,21,21,21,21,21,21,22,22,22,22,22,23,16,17,15,16,16,15,15,14,16,17,33,27,28,24,23,23,19,18,17,18,26
40,3,6,28,Mississippi,2968129,2970615,2979147,2984599,2989839,2991892,2990231,2990595,2990674,2982879,2978227,2966786,2949965,2486,8532,5452,5240,2053,-1661,364,79,-7795,-4652,-11441,0.083756468,0.287213254,0.183005404,0.175567974,0.068665905,-0.05551671,0.012172973,0.002641615,-0.260643587,-0.155956712,-0.384154734,31,31,31,31,31,31,31,33,33,34,34,34,39,39,45,44,43,46,44,41,47,44,45,41,39,43,42,45,47,44,41,48,45,47
40,2,4,29,Missouri,5988941,5996089,6011182,6026027,6042989,6059130,6075411,6091384,6111382,6125986,6140475,6151548,6168187,7148,15093,14845,16962,16141,16281,15973,19998,14604,14489,11073,0.119353321,0.251714076,0.246956422,0.281478991,0.267102919,0.268701942,0.262912254,0.328299776,0.238963953,0.236517028,0.180328069,18,18,18,18,18,18,18,18,18,18,18,18,22,30,33,27,26,22,23,22,21,21,19,35,44,40,36,32,33,32,29,32,31,30
40,4,8,30,Montana,989400,990730,997518,1004168,1014158,1022657,1031495,1042137,1053862,1061818,1070123,1080577,1104271,1330,6788,6650,9990,8499,8838,10642,11725,7956,8305,10454,0.134424904,0.685151353,0.666654637,0.994853451,0.838035099,0.864219382,1.031706407,1.125091999,0.754937554,0.782149107,0.976897048,44,44,44,44,44,44,44,44,44,43,43,43,44,43,43,37,36,34,31,27,31,27,20,31,26,27,13,17,16,15,13,16,14,10
40,2,4,31,Nebraska,1826311,1829591,1840914,1853691,1865813,1879955,1892059,1906483,1916998,1925512,1932571,1937552,1963692,3280,11323,12777,12122,14142,12104,14424,10515,8514,7059,4981,0.179597013,0.618881488,0.694057408,0.653938548,0.757953771,0.643845198,0.762344092,0.551539143,0.444131919,0.366603792,0.25773956,38,38,38,38,37,37,37,37,37,37,37,37,35,35,34,35,29,27,24,30,29,30,27,26,29,26,25,19,20,18,20,21,25,28
40,4,8,32,Nevada,2700683,2702483,2713114,2744670,2776956,2818935,2868531,2919555,2972097,3030725,3090771,3138259,3143991,1800,10631,31556,32286,41979,49596,51024,52542,58628,60046,47488,0.066649807,0.393378978,1.163091562,1.176316279,1.511691219,1.759387854,1.778750169,1.799657825,1.972613949,1.981242112,1.536445114,35,35,35,35,35,35,35,34,34,32,32,32,42,37,16,18,13,13,13,14,11,9,10,45,36,11,8,6,6,6,3,1,2,3
40,1,1,33,New Hampshire,1316457,1316807,1320444,1324677,1327272,1334257,1337480,1343694,1350395,1355064,1360783,1366275,1388992,350,3637,4233,2595,6985,3223,6214,6701,4669,5719,5492,0.026586512,0.27619841,0.320573989,0.195896811,0.526267412,0.241557661,0.464605078,0.498699853,0.345750688,0.422046486,0.403591168,42,42,42,42,42,41,41,41,41,41,41,41,48,46,47,46,39,39,35,34,35,32,26,47,41,38,41,27,34,23,22,23,23,19
40,1,2,34,New Jersey,8791959,8799451,8828552,8845671,8857821,8867277,8870312,8873584,8888147,8891730,8891258,8882371,9267130,7492,29101,17119,12150,9456,3035,3272,14563,3583,-472,-8887,0.085214228,0.330713814,0.193904958,0.137355323,0.106753117,0.034226967,0.03688709,0.164116326,0.040312115,-0.005308303,-0.09995211,11,11,11,11,11,11,11,11,11,11,11,11,21,20,23,34,34,40,38,25,37,39,42,40,37,41,44,41,41,43,35,41,39,39
